User|Def Acct|Admin|Cluster|Account|Partition|Share|MaxJobs|MaxNodes|MaxCPUs|MaxSubmit|MaxWall|MaxCPUMins|QOS|Def QOS
jsous|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
jsposa|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
jstewart|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
jstokes|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
jtischio|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
jvinokurov|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
jwang|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
jworthington|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
jwu|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
jyzhou|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
jzarka|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
jzhou|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
kbreivik|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
kburns|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
kchatziioannou|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
kchen|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
kgraim|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
kho|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
khyatt|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
knelson|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
kpatil|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
