User|Def Acct|Admin|Cluster|Account|Partition|Share|MaxJobs|MaxNodes|MaxCPUs|MaxSubmit|MaxWall|MaxCPUMins|QOS|Def QOS
awietek|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
awong|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
axichen|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
bburkhart|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
bbusemeyer|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
bcarpenter|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
bchakrabarti|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
bkloss|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
blau|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
bmotwani|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
boj|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
bripperda|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
bxiao|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
calebwheeler|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
carriero|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
cbertrand|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
cchandler|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
cdreyer|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
cfeng|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
cfleisch|info|None|slurm_cluster|info||1|||||||gen,ib,info,preempt|gen
chayward|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
